2023-06-18 17:08:49,038 INFO    MainThread:50207 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-18 17:08:49,039 INFO    MainThread:50207 [wandb_setup.py:_flush():76] Configure stats pid to 50207
2023-06-18 17:08:49,039 INFO    MainThread:50207 [wandb_setup.py:_flush():76] Loading settings from /Users/shaharcohen/.config/wandb/settings
2023-06-18 17:08:49,039 INFO    MainThread:50207 [wandb_setup.py:_flush():76] Loading settings from /Users/shaharcohen/Studies/MSc/research/DeepPEF/wandb/settings
2023-06-18 17:08:49,039 INFO    MainThread:50207 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-18 17:08:49,040 INFO    MainThread:50207 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-18 17:08:49,040 INFO    MainThread:50207 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train-sidechain.py', 'program': '/Users/shaharcohen/Studies/MSc/research/DeepPEF/train-sidechain.py'}
2023-06-18 17:08:49,040 INFO    MainThread:50207 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-06-18 17:08:49,040 INFO    MainThread:50207 [wandb_init.py:_log_setup():507] Logging user logs to /Users/shaharcohen/Studies/MSc/research/DeepPEF/wandb/run-20230618_170849-pl8u56o5/logs/debug.log
2023-06-18 17:08:49,040 INFO    MainThread:50207 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/shaharcohen/Studies/MSc/research/DeepPEF/wandb/run-20230618_170849-pl8u56o5/logs/debug-internal.log
2023-06-18 17:08:49,041 INFO    MainThread:50207 [wandb_init.py:init():547] calling init triggers
2023-06-18 17:08:49,041 INFO    MainThread:50207 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-06-18 17:08:49,041 INFO    MainThread:50207 [wandb_init.py:init():596] starting backend
2023-06-18 17:08:49,041 INFO    MainThread:50207 [wandb_init.py:init():600] setting up manager
2023-06-18 17:08:49,046 INFO    MainThread:50207 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-06-18 17:08:49,053 INFO    MainThread:50207 [wandb_init.py:init():606] backend started and connected
2023-06-18 17:08:49,060 INFO    MainThread:50207 [wandb_init.py:init():703] updated telemetry
2023-06-18 17:08:49,093 INFO    MainThread:50207 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-18 17:08:50,257 INFO    MainThread:50207 [wandb_run.py:_on_init():2176] communicating current version
2023-06-18 17:08:51,483 INFO    MainThread:50207 [wandb_run.py:_on_init():2185] got version response 
2023-06-18 17:08:51,484 INFO    MainThread:50207 [wandb_init.py:init():787] starting run threads in backend
2023-06-18 17:08:58,106 INFO    MainThread:50207 [wandb_run.py:_console_start():2155] atexit reg
2023-06-18 17:08:58,106 INFO    MainThread:50207 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-18 17:08:58,106 INFO    MainThread:50207 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-18 17:08:58,107 INFO    MainThread:50207 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-18 17:08:58,107 INFO    MainThread:50207 [wandb_init.py:init():828] run started, returning control to user process
